"Timestamp","How often do you watch the news?","How do you have been notified about previous natural disasters?","What are the most common natural disasters in your area?","Would you like if an application develop to provide early warnings for you, before a disaster?","How long does it take for the emergency services to come for help during disasters?","How prone is your area to natural disaster?","Do you know what to do when a natural disaster occurs?","Do you know the hotlines to call in emergencies?","What is the safest place for you to evacuate to in a natural disaster?","How long did it take for u to recover from the last disaster?","What do you think you should have done during the last natural disaster?","Please share any additional comments or suggestions that you would expect natural disaster application?"
"2021/06/17 2:27:04 PM GMT+5:30","Very rarely","Television","Flood","Yes","3 - 5 hours","","no","Yes","Temple"," Three weeks","No idea",""
"2021/06/17 2:33:34 PM GMT+5:30","Once or Twice a week","Social Media","Storm","Yes","May be  1 or 2 hours","Not much","No ","No","Basement ","More than 6 months","Call emergency services ","Please give donation option"
"2021/06/17 5:01:26 PM GMT+5:30","Very rarely","Social Media","Flooding","Yes","18 month","Kandy","Keep the gas tank fill","No","Safety kit","20month","Stay in your safe area and do not drive until the danger has passed.","Fuel up your vehicle and equipment
"
"2021/06/17 5:03:04 PM GMT+5:30","Daily","Social Media","Drought","Yes","1/2 hour","20%","No","No","Temple","Don’t remember ","I would think to help others to be not harmed ","I would like to say that if government improves the facilities of emergency management and time management "
"2021/06/17 5:18:27 PM GMT+5:30","Once or Twice a week","Social Media","Storm","Yes","May be  1 or 2 hours","Not much","No ","No","Basement ","More than 6 months","Call emergency services ","Please give donation option"
"2021/06/17 5:24:57 PM GMT+5:30","Very rarely","Social Media","Raining","Yes","long time","over water","No","No","temple","long time","nothing",""
"2021/06/17 5:37:38 PM GMT+5:30","Once or Twice a week","Social Media","FLOOD ","Yes","12 to 24 hours ","Not Mutch ","Somewhat ","No","No idea ","I didn't have faced any disasters","No idea ","If you guys can add a hotline list for an any emergency it will be great 👍"
"2021/06/17 5:38:03 PM GMT+5:30","Very rarely","Social Media","Not much natural disasters in my area","Yes","","","No","No","My hout","","",""
"2021/06/17 5:47:34 PM GMT+5:30","Once or Twice a week","Social Media","Floods","Yes","In an hour.","Less likely","Not very much","Yes","Nearby temples","-","Could have been informed early to evacuate early.",""
"2021/06/17 5:52:23 PM GMT+5:30","Very rarely","Social Media","Earthquake","Yes","","","No","No","Not sure ","A day or two ","",""
"2021/06/17 6:03:32 PM GMT+5:30","Daily","Television","Winds","Yes","30 minutes","","Depends on the actual situation ","No","Far away from that area","Day or two","",""
"2021/06/17 6:03:35 PM GMT+5:30","Once or Twice a week","Social Media","floods","Yes","15-20 mins","not much","no","No","bbhs","-","-","hotline numbers of authorities"
"2021/06/17 6:36:22 PM GMT+5:30","Daily","Television","Flood","Yes","It depends on the distance","Good","Nope","No","Any apartments near me","4-5 days","I would've tried to escape","No suggestions"
"2021/06/17 6:44:21 PM GMT+5:30","Very rarely","Social Media","....","Yes","Bit time consuming....","Less prone....","Basics are known to the level...","No","....",".....","....",""
"2021/06/17 6:46:55 PM GMT+5:30","Daily","Social Media","Mini flood","Yes","Maybe 1/2 hr","Not much ","No","Yes","Basement","2-3 months","Know about it in prior",""
"2021/06/17 6:49:43 PM GMT+5:30","Daily","Social Media","Mini flood","Yes","Maybe 1/2 hr","Not much ","No","Yes","Basement","2-3 months","Know about it in prior",""
"2021/06/17 6:50:40 PM GMT+5:30","Daily","Television","Tornado/hurricane warnings, flash flooding (minor)","Yes","Unknown - within 15-30min","Not very likely ","Yes - shared to public when it happens","Yes","Below ground basement/nearby modified shelter centres","N/A - nothing major","N/A - nothing major","Checklists for supplies to have handy "
"2021/06/17 6:56:56 PM GMT+5:30","Daily","Television","Storms,Tornado ","Yes","About 30 minutes ","Severe ","Yes","Yes","Basement without windows ","By God’s grace we never had anything but in my city lots of people had and took more than a month ","Stocked up with lots of groceries ","Government officials should make lots of comfortable places for people to stay safe  in the disaster time "
"2021/06/17 7:18:17 PM GMT+5:30","Once or Twice a week","Television","Flood ","Yes","","","No","No","Higher place","","",""
"2021/06/17 7:28:53 PM GMT+5:30","Once or Twice a week","Television","Thunderstorms","Yes","5 minutes","Less Likely","No","Yes","Home","Not much","Not stayed outdoors",""
"2021/06/17 7:54:25 PM GMT+5:30","Daily","Television","Nothing","Yes","1/2 hours ","","Yes ","Yes","Temple ","","",""
"2021/06/17 8:32:51 PM GMT+5:30","Daily","Social Media","Flooding","Yes","Two hours","Houses were flooded","Doing what we can to help","Yes","Moving towards higher ground","Three weeks","move to the safe place","Observing weather reports."
"2021/06/17 8:56:35 PM GMT+5:30","Once or Twice a week","Social Media","Floods ","Yes","15 minutes ","Safe ","No","Yes","Safe ","","",""
"2021/06/17 8:57:53 PM GMT+5:30","Daily","Social Media","Drought","Yes","20mins","10%","Yeah but not much","No","Home or safety ","3 days","Seek water","I would recommend government to take actions to development the areas where disaster occurs oftenly"
"2021/06/17 9:16:50 PM GMT+5:30","Very rarely","Social Media","Floods","Yes","","","Yes","No","The church","","",""
"2021/06/17 9:41:29 PM GMT+5:30","Daily","Social Media","heavy rain","Yes","2 days","usually","yes","No","no place for us","3 days ","no idea","please make an user friendly application with ease to log in database"
"2021/06/17 9:47:53 PM GMT+5:30","Very rarely","Social Media","Over heat","No","After a year","78 times in a day","Sweat comes out in my body","No","Shower","When moon comes","Drinking lemon juice","No thanks"
"2021/06/17 9:50:33 PM GMT+5:30","Daily","Radio","Flood,storm","Yes","3 hrs","Less","No","No","Schools","A week","Don't know",""
"2021/06/17 10:02:21 PM GMT+5:30","Daily","Social Media","Landslide","Yes","3hrs","Somewhat closer","Not at all","No","School","2 months","",""
"2021/06/17 10:02:50 PM GMT+5:30","Daily","Social Media","Landslides ","Yes","Half an hour ","Nothing much ","Yes, search for a safety place to dwell.","No","Ground or any tall building which means it depends on the disaster.","No experience till now.","No experience till now.",""
